Ranking,Title,IMDB,Rating,Year
1,Home Alone,7.0,PG,1990
1,Terminator 2: Judgment Day,8.5,R,1991
1,Aladdin,7.9,G,1992
1,Forrest Gump,8.6,PG-13,1994
1,Apollo 13,7.5,PG-13,1995
1,Independence Day,6.8,PG-13,1996
1,Titanic,7.4,PG-13,1997
1,Armageddon,6.3,PG-13,1998
1,Star Wars: Episode I - The Phantom Menace,6.4,PG,1999
1,How the Grinch Stole Christmas,5.7,PG,2000
1,Harry Potter and the Sorcerer's Stone,7.2,PG,2001
1,Spider-Man,7.4,PG-13,2002
1,The Lord of the Rings: The Return of the King,8.8,PG-13,2003
1,Star Wars: Episode III - Revenge of the Sith,7.8,PG-13,2005
1,Spider-Man 3,6.4,PG-13,2007
1,Avatar,7.8,PG-13,2009
1,Harry Potter and the Deathly Hallows: Part 2,8.2,PG-13,2011
1,The Avengers,8.5,PG-13,2012
1,The Hunger Games: Catching Fire,7.9,PG-13,2013
1,The Hunger Games: Mockingjay Part 1,6.9,PG-13,2014
1,Star Wars Episode VII The Force Awakens,8.3,PG-13,2015
1,Star Wars: Episode VIII - The Last Jedi,7.6,PG-13,2017
1,Avengers: Endgame,8.8,,2019
2,Ghost,6.9,PG-13,1990
2,Robin Hood: Prince of Thieves,6.7,PG-13,1991
2,Home Alone 2: Lost in New York,5.9,PG,1992
2,Mrs. Doubtfire,6.6,PG-13,1993
2,True Lies,7.2,R,1994
2,Batman Forever,5.4,PG-13,1995
2,Men in Black,7.0,PG-13,1997
2,Saving Private Ryan,8.5,R,1998
2,The Lord of the Rings: The Fellowship of the Ring,8.8,PG-13,2001
2,The Lord of the Rings: The Two Towers,8.7,PG-13,2002
2,Finding Nemo,8.1,G,2003
2,Spider-Man 2,7.7,PG-13,2004
2,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.0,PG,2005
2,Night at the Museum,6.4,PG,2006
2,Iron Man,7.9,PG-13,2008
2,Transformers: Revenge of the Fallen,6.0,PG-13,2009
2,Tangled,7.9,PG,2010
2,Transformers: Dark of the Moon,6.5,PG-13,2011
2,Iron Man 3,7.5,PG-13,2013
2,Jurassic World,7.2,PG-13,2015
2,Finding Dory,7.7,PG,2016
2,Avengers: Infinity War,8.6,PG-13,2018
2,Captain Marvel,7.1,,2019
3,Dances with Wolves,8.0,PG-13,1990
3,Batman Returns,6.9,PG-13,1992
3,The Santa Clause,6.1,PG,1994
3,Pocahontas,6.0,G,1995
3,Mission: Impossible,6.9,PG-13,1996
3,The Lost World: Jurassic Park,6.0,PG-13,1997
3,Toy Story 2,8.0,G,1999
3,Mission: Impossible II,5.8,PG-13,2000
3,Star Wars: Episode II - Attack of the Clones,6.8,PG,2002
3,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,PG-13,2003
3,The Passion of the Christ,7.1,R,2004
3,Harry Potter and the Goblet of Fire,7.6,PG-13,2005
3,Cars,7.5,G,2006
3,Transformers,7.3,PG-13,2007
3,Harry Potter and the Half-Blood Prince,7.3,PG,2009
3,The Twilight Saga: Breaking Dawn - Part 1,4.8,PG-13,2011
3,The Hunger Games,7.4,PG-13,2012
3,Captain America: The Winter Soldier,8.1,PG-13,2014
3,The Avengers 2: Age of Ultron,7.8,PG-13,2015
3,Captain America 3 Civil War,8.1,PG-13,2016
3,Wonder Woman,7.7,PG-13,2017
3,Incredibles 2,8.1,PG,2018
3,Aladdin,7.4,,2019
4,Pretty Woman,6.7,R,1990
4,City Slickers,6.7,PG-13,1991
4,Lethal Weapon 3,6.5,R,1992
4,The Firm,6.7,R,1993
4,The Flintstones,4.6,PG,1994
4,Ace Ventura: When Nature Calls,5.8,PG-13,1995
4,101 Dalmatians,5.4,G,1996
4,Liar Liar,6.7,PG-13,1997
4,A Bug's Life,7.2,G,1998
4,Austin Powers: The Spy Who Shagged Me,6.6,PG-13,1999
4,Gladiator,8.3,R,2000
4,"Monsters, Inc.",8.0,G,2001
4,Harry Potter and the Chamber of Secrets,7.1,PG,2002
4,The Matrix Reloaded,7.1,R,2003
4,Meet the Fockers,6.4,PG-13,2004
4,War of the Worlds,6.6,PG-13,2005
4,X-Men: The Last Stand,6.9,PG-13,2006
4,Hancock,6.5,PG-13,2008
4,Iron Man 2,7.2,PG-13,2010
4,The Hangover Part II,6.7,R,2011
4,Despicable Me 2,7.6,PG,2013
4,The Lego Movie,8.0,PG,2014
4,The Secret Life of Pets,6.7,PG,2016
4,Jumanji: Welcome to the Jungle,7.3,PG-13,2017
4,Jurassic World: Fallen Kingdom,6.4,PG-13,2018
4,Us,7.2,,2019
5,Teenage Mutant Ninja Turtles,6.3,PG,1990
5,Hook,6.2,PG,1991
5,A Few Good Men,7.6,R,1992
5,Jumanji,6.4,PG,1995
5,Jerry Maguire,7.3,R,1996
5,Air Force One,6.3,R,1997
5,The Waterboy,5.7,PG-13,1998
5,What Women Want,6.3,PG-13,2000
5,Rush Hour 2,6.5,PG-13,2001
5,My Big Fat Greek Wedding,6.6,PG,2002
5,King Kong,7.6,PG-13,2005
5,The Da Vinci Code,6.4,PG-13,2006
5,Harry Potter and the Order of the Phoenix,7.3,PG-13,2007
5,Up,8.4,PG,2009
5,The Hobbit: An Unexpected Journey,8.2,PG-13,2012
5,The Hobbit 3: The Battle of the Five Armies,7.6,PG-13,2014
5,Furious 7,7.5,PG-13,2015
5,The Jungle Book,7.7,PG,2016
5,How to Train Your Dragon: The Hidden World,7.7,,2019
6,The Hunt for Red October,7.6,PG,1990
